proteinId,pValue,fdr,log10fdr,meanGroup1,meanGroup2,logFoldChange
SRSF6,3.38E-05,0.002532017,2.596533438,1118.6,757.8333333,0.389369698
SRSF7,0.002040131,0.031301668,1.504432517,5813.2,4418.638889,0.274299489
STAR,0.000953719,0.020264481,1.693264507,3110.457143,2714.694444,0.136090303
STAT1,0.00111471,0.021956334,1.658440181,22071.97143,14751.80556,0.402943057
STAT3,0.005349445,0.048278776,1.31624375,58871.94286,45686.02778,0.253572112
SULF2,0.004931454,0.047022665,1.327692765,2149.942857,1883.694444,0.132206285
SULT2A1,0.003173328,0.038058458,1.419548817,656.2571429,189.0555556,1.244511782
SUMF2,2.92E-05,0.002532017,2.596533438,9866.942857,6635.083333,0.396818837
TAF10,0.003075,0.037787583,1.422650884,3892.657143,4727.388889,-0.194281024
TARBP2,0.002501161,0.0344738,1.462510842,1301.885714,1112.916667,0.156829566
TBCA,0.004028974,0.043315113,1.36336055,8451.371429,6653.5,0.239185695
TIMP3,0.001198946,0.02294558,1.639300959,55055.37143,39354.72222,0.335723459
TLN2,0.004409518,0.044399188,1.352624968,5716.857143,4480.055556,0.243783757
TMEM132C,0.004194793,0.043558603,1.360926053,2831.842857,4273.375,-0.411476227
TMEM132D,0.000227114,0.009156048,2.038291934,3464.4,5313.166667,-0.427648559
TMPO,0.005173194,0.047809415,1.320486569,11748,8862.388889,0.281866659
TMX3,0.000809098,0.018502822,1.732762021,5391.914286,4047.638889,0.286766756
TNFRSF1A,0.001543226,0.026694619,1.573576273,24970.05714,17890.72222,0.333395126
TNFRSF1B,0.002259198,0.032776303,1.484440028,7707.928571,5830.541667,0.279139577
TNRC6B,0.003521433,0.040959069,1.38764992,1651.571429,1110.388889,0.397016911
TNXB,0.000142681,0.007404241,2.130519473,9775.342857,13341.58333,-0.311022544
TP53,0.003637746,0.041594799,1.380960974,6122.571429,5256.291667,0.152556405
TPP1,0.001582832,0.026863118,1.570843587,2783.685714,2253.277778,0.2113899
TPST2,0.000360679,0.011238735,1.949282569,1974.028571,1698.583333,0.150281844
TRA2B,0.000994566,0.020967294,1.678457622,7663.285714,5376.305556,0.354439398
UBE2D1,0.002618718,0.035156968,1.453988587,628.2,743.4444444,-0.168435454
UBE2S,0.000138471,0.007326707,2.135091204,2512.6,1656.083333,0.416862697
UGDH,0.001477628,0.025891847,1.586836976,29445.68571,15854.77778,0.619076512
VAPA,0.004547188,0.044963106,1.347143692,73868.8,57117.22222,0.25718486
VOPP1,5.77E-07,0.000389177,3.409853282,1923.8,2744.833333,-0.35541796
VWF,8.03E-08,0.000108393,3.964999216,46494.62857,28358.5,0.494409982
WARS,2.82E-05,0.002532017,2.596533438,20955.68571,14481.69444,0.369524604
WFDC2,0.00534191,0.048278776,1.31624375,7788.828571,5880.694444,0.281015615
WNK3,0.003686276,0.041687779,1.379991239,36020.31429,27926.94444,0.254491092
XRCC4,0.000587418,0.015242171,1.816953161,1786.514286,1371.111111,0.264644954
