"ProteinID","p.value","FDR","log10FDR","meanGroup1","meanGroup2","logFoldChange"
"TCF4",0.118568771640333,0.34399417783098,0.463448907885668,6249.85714285714,4857.71428571429,0.251990590644425
"TCL1A",0.522397264351218,0.495950924867116,0.304561295513545,814.809523809524,881.238095238095,-0.078373472277005
"TCL1B",0.352219788267994,0.443233149676974,0.353367765916352,2954,2798.19047619048,0.0541872343464713
"TCN1",0.26924218549549,0.411918823198787,0.385188361904756,22099.619047619,27580.1428571429,-0.22153568137777
"TCN2",0.440304918934744,0.469216286049648,0.328626922347759,47899.3095238095,45632.0238095238,0.0484913427969702
"TCP1",0.442546423708652,0.469216286049648,0.328626922347759,5755.7619047619,4995.80952380952,0.141601957667413
"TCP11",0.00197560058428388,0.110233472244627,0.957686512527123,2656.95238095238,3078.04761904762,-0.147115761566155
"TCTN2",0.0964749553579294,0.331044346696305,0.480113824244113,1290.14285714286,1471.85714285714,-0.131772011694269
"TDGF1",0.956442050586076,0.610634837829222,0.214218422039665,649.619047619048,638.238095238095,0.017674706736168
"TDO2",0.640471725209664,0.5312830439883,0.274674044470134,4796.85714285714,5488.52380952381,-0.134698390651781
"TDP1",0.140811725749615,0.359044516615219,0.444851701500346,1289,1197.7619047619,0.0734119879542962
"TEAD3",0.85824993518869,0.587754444326174,0.230804078257407,1912.71428571429,1405.66666666667,0.308011639163616
"TEAD4",0.589949147136226,0.514200176301122,0.288867778788858,964.190476190476,940.904761904762,0.0244469394911425
"TEC",0.647845568094696,0.533512069424049,0.272855751262991,8844.09523809524,8544.57142857143,0.0344538709384193
"TEK",0.963467549691971,0.612762875938748,0.212707554183766,2527.85714285714,2416.04761904762,0.0452389749930785
"TENM2",0.752102692728594,0.562575883762291,0.249818888902858,4386.47619047619,4469.52380952381,-0.0187556579805017
"TENM3",0.793114314283522,0.572684196742601,0.242084801105599,846.142857142857,889.380952380952,-0.0498374543685322
"TENM4",0.531659375263007,0.49728738926076,0.303392553926647,664.190476190476,695.619047619048,-0.0462331950392079
"TERF1",0.703108136449244,0.548045880999134,0.261183081970642,902.095238095238,924.095238095238,-0.0240950379015126
"TES",0.0782394359244523,0.313590472129533,0.503637141027232,1655.19047619048,1448.28571428571,0.133535502565442
"TESC",0.275027774948148,0.412786491449866,0.384274523553266,6462.04761904762,5795,0.108950759671589
