"ProteinID","p.value","FDR","log10FDR","meanGroup1","meanGroup2","logFoldChange"
"PTGS2",0.687987245395757,0.535498234197169,0.271241956913713,1142.52941176471,1207.64814814815,-0.0554302022027736
"PTH",0.200043977423295,0.329135990919327,0.482624625140974,1319.05882352941,1103.37962962963,0.178540609576329
"PTH1R",0.520499334258316,0.473876359216195,0.324334956879945,2275.29411764706,2397.16666666667,-0.0521781578648196
"PTH2",0.221332743902669,0.339775304686807,0.468808189410452,1054.88235294118,849.537037037037,0.216492987099611
"PTHLH",0.443829689373634,0.444896860384321,0.351740659036347,1494.94117647059,1681.03703703704,-0.117324027698287
"PTK2",0.686616755347831,0.535360063673478,0.271354029064534,323.588235294118,824.685185185185,-0.935529890975103
"PTK2B",0.286426678372392,0.371456317997792,0.43009225045772,4947.88235294118,4560.14814814815,0.0816045659307074
"PTK6",0.534199148041146,0.479488542735723,0.319221765732319,458.764705882353,527.314814814815,-0.139260286476827
"PTK7",0.978886018649298,0.613519687282715,0.212171496602725,3021.23529411765,3127.7037037037,-0.0346333087756564
"PTN",0.257846201126245,0.358707819351996,0.44525915618043,64123.0588235294,57762.7592592593,0.104459766722282
"PTP4A1",0.581527846965649,0.498139957477256,0.302648620652919,2355.70588235294,2348.44444444444,0.00308724984173886
"PTP4A2",0.0446878079620872,0.231230777487289,0.635954360548665,5475.23529411765,4331.72222222222,0.234270046084883
"PTP4A3",0.290899284216847,0.373451018010674,0.427766352356421,2242.41176470588,2108.72222222222,0.0614697851702904
"PTPN1",0.00323664992607966,0.0885396484509003,1.05286220673189,8509.47058823529,3244.83333333333,0.964115742333264
"PTPN11",0.00908142529243578,0.136172043485767,0.865912045184669,17549.2941176471,13209.6111111111,0.284069048762595
"PTPN13",0.908611135766998,0.595806684247793,0.224894628822136,398.764705882353,398.833333333333,-0.000172085305568779
"PTPN2",0.0662848772423777,0.2571881773695,0.589748999282806,687.470588235294,838.277777777778,-0.198330474740546
"PTPN4",0.485466277427941,0.461204154809164,0.336106788969347,2393.23529411765,2245.64814814815,0.0636519431504967
"PTPN6",0.0288087287279408,0.20667586933975,0.684710226925486,12980.9411764706,9725.59259259259,0.288721395771725
"PTPN7",0.436883364370901,0.442165847936857,0.354414804555482,707.294117647059,685.148148148148,0.0318114978295342
"PTPN9",0.121884911273637,0.295164290068699,0.529936186023174,746.117647058824,822.222222222222,-0.0971274102540198
"PTPRD",0.45226200840121,0.44708515369905,0.349609751455233,4795.82352941176,5406.53703703704,-0.119863342725011
"PTPRH",0.598001944096795,0.503267470779407,0.298201139774844,1909.05882352941,2012.62962962963,-0.0528317824133987
"PTPRJ",0.145860752421397,0.30276906105801,0.518888505982664,1059.82352941176,1170.72222222222,-0.0995184297415641
"PTPRR",0.774363004777573,0.559234343937145,0.252406165366122,574.235294117647,606.12962962963,-0.0540546410828129
"PTPRS",0.354640462168123,0.404547506750931,0.393030471064531,43100,48043.5185185185,-0.108584238854665
"PTPRU",0.750479216013514,0.554434236271541,0.256149959917293,3842.82352941176,4044.92592592593,-0.0512558473189138
"PTRH2",0.747309698730135,0.553606397608559,0.256798899710908,1930.58823529412,1999.05555555556,-0.0348501051999675
"PTS",0.307930250834342,0.380483284680158,0.419664417817526,972.294117647059,930.296296296296,0.0441552152873943
"PTTG1",0.711571838206668,0.543034562233294,0.26517252822051,1024.88235294118,1134.35185185185,-0.101483603797307
"PTX3",0.776886715128157,0.559983943406576,0.251824425475755,1081.82352941176,1036.42592592593,0.0428698857011068
