"proteinId","coefficient","pValue","fdr"
"LIPK",-677.485798703112,0.376473110196562,0.317929178523585
"LIPN",-536.357480463621,0.227649487766559,0.246659094733641
"LMAN1",-2077.35848725291,0.0130423217518875,0.070936550976347
"LMAN2",390.383188918582,0.403245204760683,0.329890939710539
"LMAN2L",426.810746410929,0.0479518243854939,0.119024545605091
"LMNB1",-40.2131734657863,0.933927891819746,0.505122951065091
"LMOD1",-760.957986455795,0.172087714683372,0.211769958744546
"LNX1",-883.935647998345,0.229826377714599,0.247829621866871
"LOC652493",-1130.93807184891,0.036466753709934,0.105420735679293
"LONP1",450.691382849791,0.0423586139961516,0.112233219299313
"LOXL2",-412.857967466602,0.579728283995609,0.400633004307512
"LOXL3",171.165611095848,0.509556231876162,0.374619927321154
"LPCAT2",-334.11296556575,0.668567040320722,0.428965019993356
"LPO",-385.65663017697,0.254612131233005,0.259035361936194
"LRCH4",-399.215400237923,0.624403483255579,0.415418457491061
"LRFN1",-569.063272613889,0.420853113355705,0.33726104103403
"LRFN2",-181.899341045258,0.525770831518086,0.381341457160624
"LRFN5",-1189.36456611505,0.0336348387171729,0.101603895191279
"LRIG1",878.47232691552,0.0963212648928875,0.159443764592064
"LRIG3",-487.400213756713,0.263907796918869,0.263452454964997
"LRIT2",-83.1645557350968,0.84037972008983,0.481693717898431
"LRIT3",-356.695515539951,0.334852851644941,0.299158115035848
"LRMP",-488.069741687616,0.268677067979971,0.26532372688712
"LRP1",-533.179701194126,0.547728190413947,0.389952654774845
"LRP10",295.176514285872,0.523925587744337,0.380672514690977
"LRP11",8.97535064444699,0.982772479610633,0.517796346420819
"LRP12",49.9412757051686,0.869166964626817,0.489073961733397
"LRP1B",534.492123370769,0.28306632884854,0.273210097965523
"LRP2",1457.41075774332,0.151444690165772,0.196744906183008
"LRP4",428.067843884975,0.281889871528606,0.272499720882306
"LRP8",-348.673343149095,0.333729594010607,0.298797631271185
"LRPAP1",1036.9640967584,0.00726399925769019,0.0548069354096814
"LRRC15",-815.601995955032,0.000197191040120987,0.0148559426707811
"LRRC24",-901.945242926832,0.0969954830543664,0.159725958232577
"LRRC25",-515.784000781025,0.151086610547861,0.196744906183008
"LRRC3",-801.78738177572,0.0685104156560426,0.136509086982756
"LRRC32",149.389440667377,0.80631150951264,0.474078749660846
"LRRC37A2",-210.071656393837,0.616590566108917,0.413594999114912
"LRRC3B",180.171604321424,0.586364845497748,0.402633306972907
"LRRC4B",-418.69931050156,0.180053489001228,0.217039683472937
"LRRC4C",-1843.73361226421,0.00281793123850123,0.0394047275737414
"LRRC52",-79.1671546874457,0.701494656506024,0.439006539262517
"LRRC59",425.103194217162,0.0233260872270785,0.0880151925603707
"LRRC74A",-170.875229703688,0.804770934702518,0.473919063613715
"LRRK2",-1145.91894907754,0.068486831915755,0.136509086982756
"LRRN1",-908.24754738913,0.0191238345271571,0.0825936978588047
